Actor1CountryCode,Actor2CountryCode,AlternateGoldsteinScale,SQLDATE,QuadClass,GoldsteinScale,NumArticles,AvgTone,Actor1Geo_Lat,Actor2Geo_Lat,Actor1Geo_Long,Actor2Geo_Long,NumberOfRowsBetweenCountries
PRK,AUT,0.4678571428571428,19840728,4,0.2124999999999999,28,4.167332558666145,39.2055,45.87735,126.3775,56.3485375,8
PRK,BDI,3.1500000000000004,19841130,1,3.033333333333333,18,8.05878552971576,9.333333333333334,-3.5,55.0,30.0,3
PRK,BEL,6.4,19840924,2,6.400000000000001,10,4.34782608695652,39.1888,38.3776,127.0,127.0,3
PRK,BEN,2.8,19840427,1,2.8,2,0.0,9.5,9.5,2.25,2.25,1
PRK,BFA,2.9554216867469876,19841107,1,3.269230769230769,83,3.9929502654183713,14.186807692307692,8.03146923076923,51.28771384615384,21.614252307692308,13
PRK,BGD,3.5124999999999997,19841108,2,3.1285714285714286,48,5.963904549161434,26.2066,28.531871428571428,95.40245714285713,100.6298,7
PRK,BGR,3.132203389830509,19841215,3,3.065714285714286,236,4.764342365880686,35.50077142857143,36.2426,46.236200000000004,25.796634285714287,35
PRK,BRN,6.0,19840109,1,6.0,10,4.5045045045045,4.5,4.5,114.667,114.667,1
PRK,CAN,-1.04,19840326,4,-2.3200000000000003,10,3.9037433155080263,43.60776,53.46668,82.102,-88.76668,5
PRK,CHE,1.8999999999999997,19840408,1,1.9,6,0.0,39.0194,47.0,125.755,8.0,1
PRK,CHN,3.081127733026467,19841231,4,2.8660377358490567,869,5.658717960893423,37.308443396226416,36.64677075471698,116.88679292452831,112.10714905660377,212
PRK,CMR,1.8999999999999997,19840829,1,1.9,25,4.324970131421742,29.5097,20.86875,94.6275,65.70400000000001,4
PRK,COD,2.8,19840326,1,2.8,9,3.44827586206897,39.0194,39.0194,125.755,125.755,1
PRK,COG,1.8999999999999997,19840806,1,1.9,18,2.055576703464025,39.509699999999995,17.380115,126.3775,70.51984999999999,2
PRK,CUB,3.6519999999999997,19840423,1,3.9,25,2.3394362104039517,30.2597,21.5,22.877499999999998,-80.0,6
PRK,CZE,2.923958333333333,19840906,1,3.3,96,5.088998989928898,40.79166111111111,43.63423888888889,32.87593888888889,19.698172222222222,18
PRK,DEU,4.569387755102041,19840603,1,4.2272727272727275,49,4.782975678277006,45.51262727272727,48.01365454545455,40.31454545454545,19.286363636363635,11
PRK,DNK,2.8,19840922,1,2.8,9,1.47058823529412,39.0194,39.0194,125.755,125.755,1
