Country Name,Max Latitude,Min Latitude,Max Longitude,Min Longitude,Country Code
Kyrgyzstan,0.6450364899322958,0.8029624806706275,0.7161962212610972,0.7192369848782179,KGZ
Lao People's Democratic Republic,0.4624989009056537,0.5972979571905266,0.7941611654905532,0.8083227519335104,LAO
Latvia,0.7753451156247252,0.9370879791649712,0.5681197359435465,0.5799665242987418,LVA
Lebanon,0.5696825815528005,0.7530723528933019,0.5919644889597085,0.6207433914348379,LBN
Lesotho,0.0134529147982062,0.2344754618702693,0.5715911677669019,0.597368117280388,LSO
Liberia,0.3400158269585861,0.5194107593391389,0.4668222171636695,0.4863211358651738,LBR
Lithuania,0.7609249978018113,0.9226011231382762,0.5640792169360346,0.5798222324829737,LTU
Luxembourg,0.7057944253934758,0.8863839830715391,0.5063168677441383,0.5359286621262843,LUX
Madagascar,0.1596764266244614,0.2756571986652559,0.6315160482585932,0.6441763823155952,MDG
Malawi,0.1821858788358392,0.344510458207862,0.5899726838151604,0.6137019508253493,MWI
Malaysia,0.329376593686802,0.490925368275413,0.8272251308900522,0.8070241255915966,MYS
Maldives,0.3252211377824672,0.4791242776918694,0.6973927270657865,0.7297991457924508,MDV
Mali,0.4844807878308274,0.5665337348417026,0.4998861825631686,0.4840701835391898,MLI
Malta,0.581904510683197,0.7753723447546186,0.5292795356248576,0.560371695717419,MLT
Mauritania,0.5046161962542864,0.6038902905509889,0.4741065331208741,0.4701604524991344,MRT
Mauritius,0.1739206893519739,0.3170017091234638,0.6684782608695652,0.6825580053099389,MUS
Mexico,0.552272927108063,0.6024253275819972,0.2411222399271568,0.1778540921158952,MEX
Mongolia,0.7230282247428119,0.8224953202571823,0.8290177555201457,0.7726538150756089,MNG
Montenegro,0.6475863888156159,0.8246113778790591,0.5457546096061916,0.5726365000577168,MNE
Morocco,0.5805855974676866,0.6583380808985106,0.4848907352606419,0.4703624610412098,MAR
Mozambique,0.1726017761364635,0.2654024578823146,0.6040575916230366,0.6066316518527071,MOZ
Myanmar,0.5156071397168733,0.5636851957353299,0.7756942863646709,0.7854380699526724,MMR
Namibia,0.1156247252264134,0.2483112232440791,0.5596972456180287,0.5532725383816229,NAM
Nepal,0.5321375186846039,0.6983804020509481,0.7387036193944911,0.7504040170841509,NPL
Netherlands,0.7356018640640113,0.5818344591845039,0.5083086728886865,0.3172688445111394,NLD
New Caledonia,0.09672030247076402,0.2991779930007324,0.9774072387889824,0.97598984185617,NCL
New Zealand,0.1895717928426976,0.0559127533165133,0.9966992943318916,0.0058871060833429,NZL
Nicaragua,0.3968170227732348,0.5711727842435094,0.2524186205326656,0.2663915502712687,NIC
